Associazione,Corsisti,Convertiti,TassoConv,GareMedie,DurataMedia,Regione,Persi
A.BERGAMASCA BR.LORETO,45,19,42.2,45.1,1.73,LOM,26
A.BR.ASCOLI PICENO-C.LO CITT.,2,0,0.0,1.0,1.0,MAR,2
A.BR.NINO MARCON VE,25,18,72.0,91.3,2.16,VEN,7
A.S.GIOCO BRIDGE ETRURIA,1,0,0.0,1.0,1.0,TOS,1
A.SP.BLUE BRIDGE RM,2,2,100.0,14.0,2.0,LAZ,0
ABBADIA S.SALVATORE,3,0,0.0,1.7,1.0,TOS,3
ACCADEMIA DEL BRIDGE,45,17,37.8,35.4,1.73,LAZ,28
AGORA' ASD BRIDGE CLUB,35,18,51.4,51.3,2.2,VEN,17
ALBA BRIDGE CLUB,101,39,38.6,28.6,1.68,LOM,62
ALESSANDRIA BRIDGE,28,14,50.0,72.4,2.25,PIE,14
AMICI DEL BRIDGE FIRENZE,26,19,73.1,44.0,2.77,TOS,7
ANGOLO VERDE PG,8,6,75.0,16.1,2.38,UMB,2
ANKON BRIDGE ANCONA,26,11,42.3,36.7,1.58,MAR,15
ANTICO TIRO A VOLO - BR. A.S.D,1,0,0.0,10.0,2.0,LAZ,1
APD C.LO CANOTTIERI ROMA,4,2,50.0,7.5,1.25,LAZ,2
APD TENNIS CLUB PRESIDENT,10,4,40.0,44.6,1.8,EMI,6
APSD C.MAGISTRATI C.C.,17,5,29.4,14.2,1.65,LAZ,12
ARBAREE BRIDGE,10,5,50.0,22.9,1.5,SAR,5
ARCA BRIDGE ASD,99,49,49.5,40.6,1.94,LOM,50
ARCADIA BENBRIDGE SSD A R.L.,188,98,52.1,58.6,2.29,LAZ,90
ASD C.LO BR. PESCARA RIVIERA,43,16,37.2,40.1,2.19,ABR,27
ASD CANOTTIERI TICINO PAVIA,14,9,64.3,123.5,3.0,LOM,5
ASD CIRCOLO BOCCIOFILA LIDO,79,43,54.4,32.3,1.86,LIG,36
ASD CLUB IPPOCAMPO,1,0,0.0,2.0,1.0,CAM,1
ASD CLUB VILLA BORGHESE,6,3,50.0,26.2,1.67,LAZ,3
ASD GOLF CLUB VILLA CAROLINA,12,11,91.7,3.6,1.0,PIE,1
ASD POLISPORTIVA GRIFONE,14,7,50.0,22.7,1.64,TOS,7
ASD SOC GINNASTICA ANGIULLI,4,3,75.0,22.2,2.25,PUG,1
ASD TENNIS CLUB PADOVA,10,6,60.0,20.8,2.0,LOM,4
ASD TENNIS CLUB PARMA,6,4,66.7,45.0,1.17,LAZ,2
ASS.BR.PALERMO,74,31,41.9,96.0,2.15,SIC,43
"ASS.BRIDGE ""CIRCOLO UNIONE""",1,0,0.0,8.0,1.0,LAZ,1
ASS.BRIDGE PISA,1,0,0.0,1.0,1.0,TOS,1
ASS.POLISPORTIVA DIL.PALOCCO,14,1,7.1,8.3,1.21,LAZ,13
ASS.RIMINI BRIDGE,44,26,59.1,71.4,2.73,EMI,18
ASS.SP.DILETTANTISTICA BRIDGE COSENZA,9,5,55.6,54.3,1.78,CAB,4
ASSI NEL MONDO,6,4,66.7,40.2,2.67,LAZ,2
ASSOCIAZIONE BRIDGE CREMA,6,6,100.0,14.0,1.0,PIE,0
AURELIA BRIDGE CLUB,9,2,22.2,17.4,1.44,LAZ,7
B.RIVIERA PALME S.BENEDETTO T.,5,2,40.0,2.8,1.0,MAR,3
BAVENO BRIDGE CLUB,23,13,56.5,50.3,2.13,PIE,10
BELLAVISTA BRIDGE CLUB A.S.D.,3,1,33.3,36.7,2.33,VEN,2
BERGAMASCA BRIDGE,60,36,60.0,40.0,1.7,LOM,24
BR.ASS.COMOCANTUHELIOS,42,16,38.1,30.2,2.24,LOM,26
BR.FILARMONICA MACERATA,7,6,85.7,61.7,2.14,MAR,1
"BR.MODENA ""C.LO PERROUX""",22,15,68.2,26.8,1.73,EMI,7
BR.SPORTING CLUB S.SEVERO,4,2,50.0,24.8,2.0,PUG,2
BRIDGE  TACITUS,8,6,75.0,11.8,1.62,UMB,2
BRIDGE ADDAURA ASD,1,1,100.0,137.0,4.0,SIC,0
BRIDGE ARCOBALENO,3,2,66.7,2.3,1.67,CAM,1
BRIDGE BOLOGNA CENTRO,88,42,47.7,29.9,1.49,EMI,46
BRIDGE BOLOGNA RASTIGNANO,43,23,53.5,27.7,1.93,EMI,20
BRIDGE BORDIGHERA,24,10,41.7,80.7,2.29,LIG,14
BRIDGE BRINDISI,5,2,40.0,24.2,1.8,PUG,3
BRIDGE CARRARA,14,9,64.3,104.8,2.21,TOS,5
BRIDGE CATANZARO,14,11,78.6,14.5,1.14,CAB,3
BRIDGE CHIARAVALLE,17,10,58.8,57.2,2.06,MAR,7
BRIDGE CHIAVARI,50,27,54.0,39.3,2.4,SAR,23
BRIDGE CITTA' DEL TRICOLORE,10,1,10.0,6.2,1.6,EMI,9
BRIDGE CLUB CASERTA ASD,39,25,64.1,120.3,2.72,EMI,14
BRIDGE CLUB DELFINI JONICI,46,25,54.3,44.5,2.37,PUG,21
BRIDGE CLUB DRUSO,7,0,0.0,8.4,1.43,LOM,7
BRIDGE CLUB FORTE DEI MARMI,29,9,31.0,53.1,2.31,TOS,20
BRIDGE CLUB LA VALLEE  ASD,9,5,55.6,19.9,2.44,VAO,4
BRIDGE CLUB PETRARCA,9,6,66.7,54.4,1.78,CAM,3
BRIDGE CLUB PRATO,18,8,44.4,39.2,2.33,TOS,10
BRIDGE CLUB SANREMO,13,8,61.5,30.1,2.62,PUG,5
BRIDGE CLUB SIRACUSA,9,3,33.3,40.2,2.11,SIC,6
BRIDGE CLUB TRENTO,16,11,68.8,14.4,1.38,TRT,5
BRIDGE CONVIVIUM,13,9,69.2,108.1,2.31,SIC,4
BRIDGE CUSANO MILANINO,33,27,81.8,52.6,1.52,LOM,6
BRIDGE EREMITANI ASD,4,3,75.0,45.0,2.25,VEN,1
BRIDGE EUR  S.S.D. A R.L.,116,59,50.9,67.5,2.04,LAZ,57
BRIDGE FALCONARA,25,10,40.0,41.3,1.84,MAR,15
BRIDGE FARNESE PIACENZA,49,20,40.8,85.9,2.16,EMI,29
BRIDGE FIOCCHI ASD,43,17,39.5,7.9,1.74,LOM,26
BRIDGE FOLIGNO,50,20,40.0,90.0,2.3,EMI,30
BRIDGE ICHNOS,84,36,42.9,68.2,2.26,SAR,48
BRIDGE INSTITUTE 2000,125,76,60.8,31.1,1.9,LOM,49
BRIDGE LA MARTESANA,15,3,20.0,6.3,1.33,LOM,12
BRIDGE LAMEZIA TERME,6,3,50.0,21.0,1.17,CAB,3
BRIDGE LECCO,58,35,60.3,44.7,2.16,PUG,23
BRIDGE LEGNANO,8,3,37.5,57.2,1.75,LOM,5
BRIDGE MESSINA,35,17,48.6,54.9,1.69,MAR,18
BRIDGE MONTECATINI,11,9,81.8,34.8,2.27,TOS,2
BRIDGE OSIMO,1,0,0.0,1.0,1.0,MAR,1
BRIDGE PARTENOPE,20,15,75.0,56.8,1.7,FRI,5
BRIDGE PINEROLO,16,14,87.5,89.8,2.5,PIE,2
BRIDGE PISTOIA,63,34,54.0,45.1,2.46,TOS,29
BRIDGE RICCIONE,7,0,0.0,20.6,1.43,EMI,7
BRIDGE SELARGIUS,79,53,67.1,110.5,2.71,SAR,26
BRIDGE SENIGALLIA,7,5,71.4,51.9,2.0,MAR,2
BRIDGE SERSANTI DI IMOLA,13,6,46.2,20.5,1.85,EMI,7
BRIDGE SORRENTO,15,8,53.3,81.7,2.2,CAM,7
BRIDGE TIME ASD,4,0,0.0,9.5,2.0,LIG,4
BRIDGE VARESE,43,20,46.5,68.2,3.07,LOM,23
BRIDGE VITERBO,15,9,60.0,10.2,1.6,LAZ,6
C.BR.S.DONA' DI PIAVE,4,1,25.0,15.2,1.5,VEN,3
C.DEL BRIDGE TRIESTE - ASD,29,20,69.0,32.3,1.9,FRI,9
C.LO BIELLESE BRIDGE,21,9,42.9,45.7,2.29,PIE,12
C.LO BR.CITTA' DI UD,4,4,100.0,44.5,2.75,FRI,0
C.LO BRIDGE MESTRE,42,22,52.4,39.0,2.17,VEN,20
C.LO BRIDGE NOVARA,41,23,56.1,43.0,2.54,PIE,18
C.LO BRIDGE RESEGONE,1,1,100.0,98.0,1.0,LOM,0
C.LO BRIDGE SALERNO,25,10,40.0,45.2,1.68,CAM,15
C.LO CANOTTIERI NAPOLI A.S.D.,14,5,35.7,22.1,1.57,CAM,9
C.LO CITTADINO VERONA BRIDGE,37,17,45.9,21.5,2.0,VEN,20
"C.LO DEL BRIDGE FI ""CAMILLO PABIS TICCI""",19,11,57.9,38.7,2.42,TOS,8
C.LO DEL BRIDGE MONOPOLI,9,8,88.9,37.8,2.33,PUG,1
C.LO DEL BRIDGE VENEZIA,23,7,30.4,22.4,2.17,VEN,16
C.LO TENNIS GALATINA ASD,14,0,0.0,1.4,1.0,PUG,14
C.PORTA SUSA A.S.D.,98,37,37.8,84.9,2.48,PIE,61
C.TENNIS E DELLA VELA ASD,33,21,63.6,90.3,2.64,SIC,12
CASTELVECCHIO VERONA,16,10,62.5,53.9,3.69,VEN,6
CENTOBUCHI BRIDGE,13,7,53.8,17.1,1.46,MAR,6
CIRCOLO 1871 CATANZARO,3,0,0.0,1.3,1.0,CAB,3
CIRCOLO BELLUNO BRIDGE,7,0,0.0,1.0,1.0,CAM,7
CIRCOLO BRIDGE 2000,6,2,33.3,3.2,1.33,LOM,4
CIRCOLO BRIDGE ARCO,32,14,43.8,39.7,1.97,PUG,18
CIRCOLO BRIDGE CAGLI,34,16,47.1,56.0,2.41,MAR,18
CIRCOLO BRIDGE CARLO STAMPA SASSUOLO,8,3,37.5,24.1,1.62,EMI,5
CIRCOLO BRIDGE CATANIA,159,72,45.3,82.6,2.06,LAZ,87
CIRCOLO BRIDGE ORISTANO - SOMS,27,17,63.0,30.4,1.59,SAR,10
"CIRCOLO DEL  BRIDGE ""N.DITTO""",17,4,23.5,18.1,1.65,CAB,13
CIRCOLO EREMITANI,56,34,60.7,37.3,1.61,VEN,22
CIRCOLO TENNIS BARI ASD,6,2,33.3,10.3,1.0,LAZ,4
CIRCOLO TEVERE BRIDGE A.S.D.,79,45,57.0,28.0,1.78,LAZ,34
CLUB DI B.CONEGLIANO ASD,14,11,78.6,11.8,2.07,VEN,3
CUP TREVISO BRIDGE,5,1,20.0,9.8,1.2,VEN,4
DOMUS NAONIS-ROBERTO RICCIO A.S.D.,6,2,33.3,60.3,2.67,FRI,4
DUE FIORI BRIDGE,20,6,30.0,22.6,2.25,CAM,14
EQUILIUM VENEZIA ASD,17,3,17.6,23.1,2.06,VEN,14
ESTE BRIDGE,8,5,62.5,88.1,1.5,VEN,3
ETNA BRIDGE ASD,61,28,45.9,40.1,1.79,TOS,33
ETNA BRIDGE SSD A R.L.,45,23,51.1,39.0,1.58,SIC,22
FANFULLA BRIDGE,3,0,0.0,17.0,1.67,LOM,3
FERRARA  BRIDGE E BURRACO,17,15,88.2,25.0,1.94,EMI,2
G.B.R.L.BARBERA,31,18,58.1,59.1,1.97,CAB,13
GLI SPORT DELLA MENTE ASD,16,11,68.8,28.9,1.38,UMB,5
GS.ROVERETO BRIDGE,7,5,71.4,10.0,1.43,TRT,2
HELVIA CLUANA,8,2,25.0,52.8,2.0,MAR,6
HOLIDAY BRIDGE,1,1,100.0,122.0,4.0,LAZ,0
IDEA BRIDGE TORINO,116,44,37.9,42.7,1.78,PIE,72
IL CLUBINO BRIDGE NAPOLI,13,12,92.3,70.2,3.15,CAM,1
JUNIOR BRIDGE CLUB PERUGIA,34,24,70.6,17.3,1.26,UMB,10
LA ROTONDA BR.CLUB,4,2,50.0,25.0,2.5,LAZ,2
LA SEQUOIA SCSD,4,0,0.0,1.0,1.0,CAM,4
LAFENICE BRIDGE R.CONERO,2,1,50.0,21.5,3.0,MAR,1
LATINA PROGETTO BRIDGE,38,23,60.5,41.2,1.45,LAZ,15
LEGA NAVALE IT. SEZ.ANCONA ASD,4,1,25.0,12.2,1.75,MAR,3
LIBURNA BRIDGE,69,31,44.9,31.1,2.03,LIG,38
LIVORNO STANZE CIVICHE,18,10,55.6,95.4,2.44,TOS,8
LUCANIA BRIDGE,1,0,0.0,3.0,1.0,CAB,1
M. AMMENDOLIA ASD,30,20,66.7,35.5,1.67,SIC,10
MES AMIS,11,8,72.7,62.7,1.55,PUG,3
MINCIO BRIDGE MANTOVA,9,3,33.3,38.0,2.44,LOM,6
MONDELLO BRIDGE ASD,50,14,28.0,58.7,1.72,SIC,36
MONTECATINI TERME BRIDGE,4,4,100.0,113.0,2.25,TOS,0
MONZA BRIDGE,74,43,58.1,30.8,1.61,LOM,31
MOTO CLUB MILANO SSD A RL,31,9,29.0,11.8,1.77,LOM,22
NEAPOLIS BRIDGE,31,18,58.1,84.4,2.55,TOS,13
NUOVO BRIDGE INSIEME,36,17,47.2,44.1,2.08,LAZ,19
NUOVO TUSCOLO SP.CL.SSD A RL,37,28,75.7,17.5,1.81,LAZ,9
OLGIATA GOLF CLUB A.D.,9,9,100.0,32.7,1.89,LAZ,0
OPEN BEACH MILANO SSD A RL,39,12,30.8,26.5,1.74,LOM,27
PALLADIO BRIDGE,11,4,36.4,16.4,2.09,VEN,7
PERUGIA BRIDGE,11,7,63.6,20.5,2.0,UMB,4
PESCARA BRIDGE,30,19,63.3,93.5,2.6,ABR,11
PICCOLO SLAM,3,1,33.3,5.3,1.33,VEN,2
PLANET BRIDGE,21,12,57.1,45.7,2.05,LOM,9
POGGIO BRIDGE,32,18,56.2,69.7,1.94,SAR,14
QUADRI LIVORNO,27,10,37.0,19.1,1.93,TOS,17
QUARTU S.ELENA BR.,18,9,50.0,87.6,1.89,SAR,9
QUELLI CHE IL BRIDGE ...,14,7,50.0,49.7,1.71,LOM,7
RAVENNA BRIDGE,57,31,54.4,94.5,2.56,EMI,26
REALEBRIDGE,6,1,16.7,12.3,1.83,LAZ,5
RECANATI BRIDGE,28,15,53.6,66.2,2.54,MAR,13
ROMA TOP BRIDGE,115,70,60.9,48.3,2.03,LAZ,45
ROSSINI BR.PESARO,43,23,53.5,53.1,2.58,MAR,20
S.C.CANOTTIERI TICINO A R.L.,1,1,100.0,105.0,2.0,LOM,0
S.STANZE CIVICHE,6,4,66.7,28.2,3.0,TOS,2
SOC.CANOTTIERI CAPRERA ASD,5,3,60.0,27.8,1.4,PIE,2
SOC.CANOTTIERI MILANO,3,1,33.3,18.0,2.0,LOM,2
SPORT CLUB  DIL. RAPID,37,23,62.2,48.8,1.86,EMI,14
TARANTO BRIDGE ASD,10,1,10.0,8.6,1.6,ABR,9
U.S.PARMENSE 2015 A.S.D.,2,2,100.0,146.5,2.5,EMI,0
UNITRE MILANO,13,6,46.2,8.2,1.54,LOM,7
VIAREGGIO VERSILIA BR. A.S.D.,39,16,41.0,51.6,1.51,TOS,23
